Partidos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Cluster
18.0;1.94;0.56;1.39;0.4;0.17;0.94;0.18;0.33;0.61;0.55;0.17;0.39;0.56;0.61;0.28;1.22;0.0;0.33;0.0;0.67;0.78;0.06;Cluster 0
10.0;1.6;0.8;1.8;0.44;0.0;0.3;0.0;0.0;0.0;0.0;0.2;1.2;1.4;0.7;0.1;1.0;0.1;0.0;0.0;0.7;0.2;1.1;Cluster 2
24.0;1.46;0.5;1.83;0.27;0.04;0.04;1.0;0.33;0.58;0.57;0.21;0.58;0.79;0.04;0.29;0.21;0.08;0.04;0.0;0.96;0.46;0.33;Cluster 0
19.0;1.58;0.21;0.95;0.22;0.26;0.95;0.28;0.37;0.63;0.58;0.21;0.79;1.0;0.21;0.21;0.63;0.11;0.05;0.0;0.53;0.58;0.79;Cluster 0
6.0;2.0;1.0;2.67;0.38;0.0;0.0;0.0;0.0;0.0;0.0;0.83;1.17;2.0;0.17;0.17;0.5;0.5;0.17;0.0;0.67;0.0;1.83;Cluster 2
17.0;0.94;0.47;1.65;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.41;0.94;1.35;0.29;0.24;0.35;0.24;0.18;0.0;0.82;0.12;0.65;Cluster 2
16.0;0.69;0.25;0.75;0.33;0.06;0.31;0.2;0.0;0.0;0.0;0.31;0.38;0.69;0.25;0.38;0.69;0.06;0.0;0.0;0.31;0.12;0.44;Cluster 2
26.0;1.12;0.54;1.31;0.41;0.0;0.0;0.0;0.04;0.08;0.5;0.23;0.65;0.88;0.19;0.12;0.27;0.12;0.08;0.0;0.96;0.23;0.62;Cluster 0
20.0;2.25;1.05;1.65;0.64;0.0;0.0;0.0;0.15;0.5;0.3;1.0;1.25;2.25;0.1;0.2;0.3;0.4;0.0;0.0;0.7;0.45;3.7;Cluster 0
16.0;1.75;0.56;1.12;0.5;0.12;0.75;0.17;0.25;0.38;0.67;0.31;0.69;1.0;0.38;0.5;0.56;0.0;0.0;0.0;0.5;0.5;1.75;Cluster 0
16.0;2.06;0.75;1.19;0.63;0.12;0.75;0.17;0.19;0.44;0.43;0.38;0.69;1.06;0.19;0.19;0.62;0.12;0.0;0.0;1.06;0.44;1.06;Cluster 0
16.0;1.88;0.38;1.06;0.35;0.31;0.88;0.36;0.19;0.62;0.3;0.62;0.69;1.31;0.12;0.31;0.5;0.0;0.0;0.0;1.0;0.69;1.12;Cluster 2
6.0;0.0;0.0;0.5;0.0;0.0;1.33;0.0;0.0;0.0;0.0;0.33;0.67;1.0;0.33;0.17;0.17;0.0;0.0;0.0;0.5;0.33;-0.67;Cluster 2
15.0;1.53;0.27;0.87;0.31;0.07;1.4;0.05;0.8;0.93;0.86;0.13;0.73;0.87;0.87;0.33;0.6;0.0;0.13;0.0;1.07;1.27;1.13;Cluster 0
19.0;1.68;0.74;1.53;0.48;0.0;0.0;0.0;0.21;0.37;0.57;0.32;0.68;1.0;0.11;0.11;0.47;0.0;0.0;0.0;1.0;0.42;0.89;Cluster 0
24.0;1.88;0.0;0.25;0.0;0.58;1.33;0.44;0.12;0.17;0.75;0.08;0.29;0.38;0.08;0.21;0.21;0.04;0.08;0.0;0.46;0.38;1.17;Cluster 2
20.0;1.3;0.15;0.4;0.38;0.25;1.6;0.16;0.25;0.5;0.5;0.15;0.4;0.55;0.4;0.35;0.45;0.0;0.05;0.0;1.0;0.4;-0.35;Cluster 0
6.0;1.83;0.5;2.67;0.19;0.0;0.0;0.0;0.83;1.17;0.71;0.67;1.17;1.83;0.17;0.33;0.5;0.0;0.17;0.0;0.33;1.0;1.83;Cluster 2
12.0;1.75;0.17;0.58;0.29;0.42;1.92;0.22;0.17;0.33;0.5;0.08;1.17;1.25;0.42;0.17;0.83;0.25;0.08;0.0;1.08;0.67;0.5;Cluster 0
21.0;1.86;0.29;0.62;0.46;0.43;1.57;0.27;0.0;0.05;0.0;0.24;0.62;0.86;0.33;0.57;0.43;0.05;0.05;0.0;0.76;0.24;1.19;Cluster 2
17.0;1.82;0.59;1.71;0.34;0.06;0.06;1.0;0.47;0.76;0.62;0.59;0.71;1.29;0.18;0.18;0.47;0.0;0.24;0.0;1.29;0.82;0.88;Cluster 0
19.0;1.11;0.32;1.11;0.29;0.05;0.37;0.14;0.32;0.42;0.75;0.63;1.47;2.11;0.21;0.47;0.47;0.16;0.0;0.0;0.68;0.37;2.05;Cluster 0
16.0;1.25;0.44;1.25;0.35;0.0;0.44;0.0;0.38;0.5;0.75;0.0;0.5;0.5;0.5;0.12;1.38;0.0;0.0;0.0;0.62;0.38;-0.62;Cluster 2
8.0;2.12;0.88;1.62;0.54;0.0;0.0;0.0;0.38;0.75;0.5;0.25;0.88;1.12;0.25;0.12;0.62;0.12;0.12;0.0;1.0;0.62;1.5;Cluster 2
23.0;0.91;0.35;1.0;0.35;0.04;0.43;0.1;0.09;0.26;0.33;0.3;1.0;1.3;0.17;0.22;0.22;0.0;0.09;0.0;0.83;0.26;0.52;Cluster 2
4.0;1.0;0.0;0.5;0.0;0.25;1.25;0.2;0.25;0.5;0.5;0.0;0.25;0.25;0.0;0.0;0.5;0.0;0.0;0.0;1.5;1.0;-1.5;Cluster 2
23.0;3.0;1.35;2.57;0.53;0.0;0.0;0.0;0.3;0.43;0.7;0.52;1.04;1.57;0.22;0.09;0.39;0.04;0.04;0.0;0.78;0.3;2.65;Cluster 0
14.0;1.93;0.14;0.71;0.2;0.5;1.0;0.5;0.14;0.14;1.0;0.21;0.14;0.36;0.14;0.21;0.36;0.0;0.07;0.0;0.79;0.14;0.5;Cluster 0
7.0;0.43;0.0;0.14;0.0;0.14;0.86;0.17;0.0;0.0;0.0;0.29;0.14;0.43;0.71;0.0;0.43;0.14;0.0;0.0;0.57;0.0;-0.14;Cluster 2
9.0;0.44;0.22;1.11;0.2;0.0;0.89;0.0;0.0;0.0;0.0;0.11;0.44;0.56;0.22;0.11;0.33;0.22;0.11;0.0;0.56;0.33;-0.89;Cluster 2
18.0;2.56;0.94;1.78;0.53;0.0;0.0;0.0;0.67;0.83;0.8;0.33;1.39;1.72;0.0;0.22;0.67;0.0;0.11;0.0;1.89;0.89;1.72;Cluster 0
12.0;1.83;0.75;1.58;0.47;0.0;0.0;0.0;0.33;0.42;0.8;0.33;1.17;1.5;0.25;0.0;0.67;0.17;0.08;0.0;1.25;0.42;1.33;Cluster 0
19.0;2.42;1.0;2.16;0.46;0.05;0.11;0.5;0.26;0.53;0.5;0.89;0.95;1.84;0.11;0.32;0.37;0.05;0.05;0.0;1.32;0.58;2.11;Cluster 0
