Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'DEZ FERNNDEZ, COVADONGA';['VETUSTA OVIEDO'];13.0;9.92;2.92;1.15;2.69;0.43;0.08;0.31;0.25;0.38;0.46;0.83;0.85;1.38;2.23;0.23;0.15;0.38;0.0;0.08;0.0;1.15;0.31;2.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'DIAZ FERNANDEZ, BEATRIZ';['VETUSTA OVIEDO'];23.0;8.17;0.91;0.35;1.0;0.35;0.04;0.43;0.1;0.09;0.26;0.33;0.3;1.0;1.3;0.17;0.22;0.22;0.0;0.09;0.0;0.83;0.26;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'DIAZ ROBLES, ROSA ISABEL';['ANDALUCIA SOLO HAY UNA'];4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.0;0.25;0.25;0.0;0.5;0.0;0.0;0.0;-0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'DIAZ-LARRAURI CALLEJA, BEATRIZ';['C.B.N.'];8.0;15.75;4.0;1.12;2.25;0.5;0.38;1.88;0.2;0.62;1.62;0.38;1.25;0.62;1.88;0.12;1.75;0.75;0.12;0.12;0.0;1.38;1.5;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'DOMINGUEZ BERMEJO, DAVINIA';['B. CIUDAD DE BURGOS'];26.0;18.0;5.58;2.31;3.85;0.6;0.12;0.35;0.33;0.62;0.88;0.7;1.0;1.88;2.88;0.19;0.46;0.65;0.04;0.0;0.0;1.42;0.96;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'DONAIRE MALVELADA, ELSA';['SALAMANCA HALCON VIAJES'];23.0;21.0;2.52;0.87;1.83;0.48;0.09;0.3;0.29;0.52;0.91;0.57;0.87;2.78;3.65;1.17;1.04;0.96;0.39;0.13;0.0;2.22;0.96;4.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ERB, SUMMER ELISABETH';['SANDRA GRAN CANARIA'];24.0;21.79;10.29;3.96;6.88;0.58;0.0;0.0;0.0;2.38;3.58;0.66;2.75;3.83;6.58;0.12;0.5;1.0;0.33;0.25;0.0;3.12;2.5;11.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ESCOBAR MARTINEZ, ESTHER';['C.B.N.'];19.0;9.11;2.68;0.74;2.21;0.33;0.05;0.21;0.25;1.05;2.05;0.51;1.0;0.89;1.89;0.21;0.58;1.0;0.11;0.37;0.0;1.37;1.0;1.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'FARRIS, BARBARA';['ANDALUCIA SOLO HAY UNA'];13.0;34.92;15.69;4.92;8.46;0.58;0.08;0.23;0.33;5.62;7.54;0.74;2.69;4.23;6.92;0.46;1.08;2.77;0.23;0.46;0.0;3.38;6.0;18.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'FERNANDEZ FARRES, MARTA';['ROS CASARES'];25.0;25.12;11.0;3.84;7.04;0.55;0.72;1.56;0.46;1.16;1.84;0.63;0.28;1.52;1.8;1.36;1.16;1.32;0.28;0.16;0.0;1.88;1.64;9.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
