Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Liga Regular Único,"HOWARD, LAURA RACHEL",DURÁN MAQUINARIA ENSINO,67 / 75,27,"89,33"
2024,Liga Regular Único,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,73 / 85,30,"85,88"
2024,Liga Regular Único,"WESTERIK, LAURA",LOINTEK GERNIKA BIZKAIA,79 / 92,30,"85,87"
2024,Liga Regular Único,"KONE , SIKA",PERFUMERIAS AVENIDA,71 / 83,30,"85,54"
2024,Liga Regular Único,"AGUILAR MOTTA, REGINA",CADI LA SEU,70 / 82,30,"85,37"
2024,Liga Regular Único,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,73 / 87,30,"83,91"
2024,Liga Regular Único,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,149 / 178,28,"83,71"
2024,Liga Regular Único,"BIBBY, CHLOE LOUISE",SPAR GIRONA,101 / 122,30,"82,79"
2024,Liga Regular Único,"HILL, SAMANTHA ELIZABETH HOLLIDAY",KUTXABANK ARASKI,94 / 116,30,"81,03"
2024,Liga Regular Único,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,98 / 121,30,"80,99"
2024,Liga Regular Único,"BUENAVIDA ESTEVEZ, ELENA",LOINTEK GERNIKA BIZKAIA,62 / 77,29,"80,52"
2024,Liga Regular Único,"MELIA, CLAIRE",BAXI FERROL,87 / 109,30,"79,82"
2024,Liga Regular Único,"PENDANDE MENDES, MARIA DOLORES",IDK EUSKOTREN,72 / 91,30,"79,12"
2024,Liga Regular Único,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,86 / 110,30,"78,18"
2024,Liga Regular Único,"HERMIDA HERRAEZ, MARTA",KUTXABANK ARASKI,54 / 70,29,"77,14"
2024,Liga Regular Único,"MESTRES RICART, GALA",BAXI FERROL,46 / 60,29,"76,67"
2024,Liga Regular Único,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,79 / 104,30,"75,96"
2024,Liga Regular Único,"JAMES, KAI AFI GNOZI NONI",SPAR GRAN CANARIA,69 / 91,19,"75,82"
2024,Liga Regular Único,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,69 / 91,30,"75,82"
2024,Liga Regular Único,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,46 / 62,30,"74,19"
2024,Liga Regular Único,"TADIC, MATEA",CELTA  FEMXA ZORKA,56 / 76,30,"73,68"
2024,Liga Regular Único,"CONTELL SANCHIS, CLAUDIA",SPAR GRAN CANARIA,69 / 94,30,"73,4"
2024,Liga Regular Único,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,49 / 67,29,"73,13"
2024,Liga Regular Único,"BUHNER, FRIEDA MIZZI",MOVISTAR ESTUDIANTES,54 / 74,30,"72,97"
2024,Liga Regular Único,"COOPER, SAMANTHA EMMA",CELTA  FEMXA ZORKA,48 / 66,29,"72,73"
2024,Liga Regular Único,"SORIANO PEREZ, CLAUDIA",DURÁN MAQUINARIA ENSINO,63 / 87,30,"72,41"
2024,Liga Regular Único,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,65 / 90,30,"72,22"
2024,Liga Regular Único,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,70 / 98,30,"71,43"
2024,Liga Regular Único,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,61 / 86,28,"70,93"
2024,Liga Regular Único,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,46 / 65,29,"70,77"
2024,Liga Regular Único,"HOWARD, LAURA RACHEL",DURÁN MAQUINARIA ENSINO,67 / 75,27,"89,33"
2024,Liga Regular Único,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,73 / 85,30,"85,88"
2024,Liga Regular Único,"WESTERIK, LAURA",LOINTEK GERNIKA BIZKAIA,79 / 92,30,"85,87"
2024,Liga Regular Único,"KONE , SIKA",PERFUMERIAS AVENIDA,71 / 83,30,"85,54"
2024,Liga Regular Único,"AGUILAR MOTTA, REGINA",CADI LA SEU,70 / 82,30,"85,37"
2024,Liga Regular Único,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,73 / 87,30,"83,91"
2024,Liga Regular Único,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,149 / 178,28,"83,71"
2024,Liga Regular Único,"BIBBY, CHLOE LOUISE",SPAR GIRONA,101 / 122,30,"82,79"
2024,Liga Regular Único,"HILL, SAMANTHA ELIZABETH HOLLIDAY",KUTXABANK ARASKI,94 / 116,30,"81,03"
2024,Liga Regular Único,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,98 / 121,30,"80,99"
2024,Liga Regular Único,"BUENAVIDA ESTEVEZ, ELENA",LOINTEK GERNIKA BIZKAIA,62 / 77,29,"80,52"
2024,Liga Regular Único,"MELIA, CLAIRE",BAXI FERROL,87 / 109,30,"79,82"
2024,Liga Regular Único,"PENDANDE MENDES, MARIA DOLORES",IDK EUSKOTREN,72 / 91,30,"79,12"
2024,Liga Regular Único,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,86 / 110,30,"78,18"
2024,Liga Regular Único,"HERMIDA HERRAEZ, MARTA",KUTXABANK ARASKI,54 / 70,29,"77,14"
2024,Liga Regular Único,"MESTRES RICART, GALA",BAXI FERROL,46 / 60,29,"76,67"
2024,Liga Regular Único,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,79 / 104,30,"75,96"
2024,Liga Regular Único,"JAMES, KAI AFI GNOZI NONI",SPAR GRAN CANARIA,69 / 91,19,"75,82"
2024,Liga Regular Único,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,69 / 91,30,"75,82"
2024,Liga Regular Único,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,46 / 62,30,"74,19"
2024,Liga Regular Único,"TADIC, MATEA",CELTA  FEMXA ZORKA,56 / 76,30,"73,68"
2024,Liga Regular Único,"CONTELL SANCHIS, CLAUDIA",SPAR GRAN CANARIA,69 / 94,30,"73,4"
2024,Liga Regular Único,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,49 / 67,29,"73,13"
2024,Liga Regular Único,"BUHNER, FRIEDA MIZZI",MOVISTAR ESTUDIANTES,54 / 74,30,"72,97"
2024,Liga Regular Único,"COOPER, SAMANTHA EMMA",CELTA  FEMXA ZORKA,48 / 66,29,"72,73"
2024,Liga Regular Único,"SORIANO PEREZ, CLAUDIA",DURÁN MAQUINARIA ENSINO,63 / 87,30,"72,41"
