Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Liga Regular Único,"PUJOL LLUCH, ARIADNA",CELTA  FEMXA ZORKA,13,18,"0,72"
2024,Liga Regular Único,"VIDAL ACUÑA, SARA",CELTA  FEMXA ZORKA,31,19,"1,63"
2024,Liga Regular Único,"BERMEJO ESCRIBANO, DEVA",CLUB JOVENTUT BADALONA,23,15,"1,53"
2024,Liga Regular Único,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,16,15,"1,07"
2024,Liga Regular Único,"ALBERDI LARRUCEA, MARTA",LOINTEK GERNIKA BIZKAIA,18,23,"0,78"
2024,Liga Regular Único,"PUJOL LLUCH, ARIADNA",CELTA  FEMXA ZORKA,13,18,"0,72"
2024,C.SM Reina Final,"BIBBY, CHLOE LOUISE",SPAR GIRONA,45,2,"22,5"
2024,C.SM Reina Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,21,1,21
2024,C.SM Reina Final,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,56,3,"18,67"
2024,C.SM Reina Final,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,15,1,15
2024,C.SM Reina Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,27,2,"13,5"
2024,C.SM Reina Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,40,3,"13,33"
2024,C.SM Reina Final,"FAM THIAM, AWA",LOINTEK GERNIKA BIZKAIA,13,1,13
2024,C.SM Reina Final,"IAGUPOVA, ALINA",VALENCIA B.C.,13,1,13
2024,C.SM Reina Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,13,1,13
2024,C.SM Reina Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,37,3,"12,33"
2024,C.SM Reina Final,"ETXARRI MUNARRIZ, IRATI",LOINTEK GERNIKA BIZKAIA,12,1,12
2024,C.SM Reina Final,"WESTERIK, LAURA",LOINTEK GERNIKA BIZKAIA,12,1,12
2024,C.SM Reina Final,"EZEIGBO, NNEKA CHIZOBA",SPAR GRAN CANARIA,12,1,12
2024,C.SM Reina Final,"MACK, NATASHA NICOLE",SPAR GIRONA,23,2,"11,5"
2024,C.SM Reina Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,23,2,"11,5"
2024,C.SM Reina Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,22,2,11
2024,C.SM Reina Final,"CHERY, KENDRA MARIE-CHRISTIANE",LOINTEK GERNIKA BIZKAIA,11,1,11
2024,C.SM Reina Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,33,3,11
2024,C.SM Reina Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,22,2,11
