Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Liga Regular Único,"VIDAL ACUÑA, SARA",CELTA  FEMXA ZORKA,1,19,"0,05"
2024,Liga Regular Único,"ALBERDI LARRUCEA, MARTA",LOINTEK GERNIKA BIZKAIA,-3,23,"-0,13"
2024,Liga Regular Único,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,-2,15,"-0,13"
2024,Liga Regular Único,"DIEZ PASTOR, AMAIA",OSES CONSTRUCCION,-21,27,"-0,78"
2024,Liga Regular Único,"VIDAL ACUÑA, SARA",CELTA  FEMXA ZORKA,1,19,"0,05"
2024,Liga Regular Único,"ALBERDI LARRUCEA, MARTA",LOINTEK GERNIKA BIZKAIA,-3,23,"-0,13"
2024,Liga Regular Único,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,-2,15,"-0,13"
2024,Liga Regular Único,"DIEZ PASTOR, AMAIA",OSES CONSTRUCCION,-21,27,"-0,78"
2024,C.SM Reina Final,"BIBBY, CHLOE LOUISE",SPAR GIRONA,46,2,23
2024,C.SM Reina Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,65,3,"21,67"
2024,C.SM Reina Final,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,60,3,20
2024,C.SM Reina Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,19,1,19
2024,C.SM Reina Final,"MACK, NATASHA NICOLE",SPAR GIRONA,38,2,19
2024,C.SM Reina Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,35,2,"17,5"
2024,C.SM Reina Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,35,2,"17,5"
2024,C.SM Reina Final,"EZEIGBO, NNEKA CHIZOBA",SPAR GRAN CANARIA,16,1,16
2024,C.SM Reina Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,32,2,16
2024,C.SM Reina Final,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,15,1,15
2024,C.SM Reina Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,15,1,15
2024,C.SM Reina Final,"FAM THIAM, AWA",LOINTEK GERNIKA BIZKAIA,15,1,15
2024,C.SM Reina Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,43,3,"14,33"
2024,C.SM Reina Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,42,3,14
2024,C.SM Reina Final,"ETXARRI MUNARRIZ, IRATI",LOINTEK GERNIKA BIZKAIA,13,1,13
2024,C.SM Reina Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,26,2,13
2024,C.SM Reina Final,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,13,1,13
2024,C.SM Reina Final,"WESTERIK, LAURA",LOINTEK GERNIKA BIZKAIA,12,1,12
2024,C.SM Reina Final,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,10,1,10
2024,C.SM Reina Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,20,2,10
2024,C.SM Reina Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,10,1,10
2024,C.SM Reina Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,28,3,"9,33"
2024,C.SM Reina Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,28,3,"9,33"
2024,C.SM Reina Final,"CHERY, KENDRA MARIE-CHRISTIANE",LOINTEK GERNIKA BIZKAIA,9,1,9
2024,C.SM Reina Final,"GRETTER, MELISA PAOLA",SPAR GRAN CANARIA,9,1,9
2024,C.SM Reina Final,"HERMOSA MONREAL, NEREA",CASADEMONT ZARAGOZA,16,2,8
2024,C.SM Reina Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,24,3,8
2024,C.SM Reina Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,7,1,7
2024,C.SM Reina Final,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,7,1,7
2024,C.SM Reina Final,"DODSON, MAYA ANNE CRISENCIA",LOINTEK GERNIKA BIZKAIA,7,1,7
