Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs 1/2 Final,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,2,4,"0,5"
2024,Play-Offs 1/2 Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,2,4,"0,5"
2024,Play-Offs 1/2 Final,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs 1/2 Final,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,Play-Offs 1/2 Final,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,1,3,"0,33"
2024,Play-Offs 1/2 Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,1,4,"0,25"
2024,Play-Offs 1/2 Final,"KONE , SIKA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs 1/4 Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,13,2,"6,5"
2024,Play-Offs 1/4 Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,12,2,6
2024,Play-Offs 1/4 Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,11,2,"5,5"
2024,Play-Offs 1/4 Final,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,11,2,"5,5"
2024,Play-Offs 1/4 Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,11,2,"5,5"
2024,Play-Offs 1/4 Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,10,2,5
2024,Play-Offs 1/4 Final,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,9,2,"4,5"
2024,Play-Offs 1/4 Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,9,2,"4,5"
2024,Play-Offs 1/4 Final,"FIEBICH, LEONIE",VALENCIA B.C.,8,2,4
2024,Play-Offs 1/4 Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,8,2,4
2024,Play-Offs 1/4 Final,"IAGUPOVA, ALINA",VALENCIA B.C.,4,1,4
2024,Play-Offs 1/4 Final,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs 1/4 Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs 1/4 Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,6,2,3
2024,Play-Offs 1/4 Final,"MELIA, CLAIRE",BAXI FERROL,6,2,3
2024,Play-Offs 1/4 Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,3,1,3
2024,Play-Offs 1/4 Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,3,1,3
2024,Play-Offs 1/4 Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,6,2,3
2024,Play-Offs 1/4 Final,"TATE, IMANI TY LEAH",SPAR GIRONA,5,2,"2,5"
2024,Play-Offs 1/4 Final,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,5,2,"2,5"
2024,Play-Offs 1/4 Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,5,2,"2,5"
2024,Play-Offs 1/4 Final,"MESTRES RICART, GALA",BAXI FERROL,5,2,"2,5"
2024,Play-Offs 1/4 Final,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,4,2,2
2024,Play-Offs 1/4 Final,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,4,2,2
2024,Play-Offs 1/4 Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,4,2,2
2024,Play-Offs 1/4 Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,4,2,2
2024,Play-Offs 1/4 Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,4,2,2
