Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'ROKKANEN, SARA EMILIA SUSANNA';['EMBUTIDOS PAJARIEL BEMBIBRE PDM'];8.0;6.37;1.12;0.38;1.12;0.33;0.0;0.75;0.0;0.38;0.75;0.5;0.12;0.62;0.75;0.38;0.0;0.38;0.0;0.0;0.0;0.5;0.62;0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ROMERO GARRIDO, MARA';['ALTER ENERSUN AL-QÁZERES EXTREMADURA'];13.0;5.43;0.54;0.0;0.0;0.0;0.15;0.46;0.33;0.08;0.15;0.5;0.0;0.62;0.62;0.23;0.23;0.23;0.0;0.0;0.0;1.08;0.23;0.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ROMERO GONZALEZ, LETICIA';['VALENCIA B.C.'];28.0;16.38;5.89;1.18;2.18;0.54;0.86;2.18;0.39;0.96;1.11;0.87;0.29;1.39;1.68;1.57;0.32;0.75;0.07;0.04;0.0;1.46;1.21;6.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ROUNDTREE, MARGARET YVETTE';['LOINTEK GERNIKA BIZKAIA'];28.0;22.86;8.39;3.25;7.04;0.46;0.29;1.14;0.25;1.04;1.32;0.78;1.0;2.36;3.36;1.71;0.75;1.21;0.11;0.11;0.0;1.21;1.43;8.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ROYO TORRES, BEATRIZ';['CASADEMONT ZARAGOZA'];1.0;12.52;2.0;1.0;3.0;0.33;0.0;3.0;0.0;0.0;0.0;0.0;2.0;2.0;4.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SAGERER,  HELGA SARAH';['QUESOS EL PASTOR'];4.0;10.55;4.0;1.5;3.25;0.46;0.25;0.25;1.0;0.25;1.0;0.25;0.5;1.0;1.5;0.0;0.0;1.0;0.0;0.0;0.0;1.25;0.75;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SAHAGUN BERNAL, ESTEFANIA';['QUESOS EL PASTOR'];1.0;1.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SALAS, BROOKE WYLIE';['QUESOS EL PASTOR'];18.0;21.97;7.28;2.56;5.33;0.48;0.44;1.72;0.26;0.83;1.06;0.79;0.94;3.56;4.5;0.61;0.72;1.39;0.5;0.17;0.0;3.0;1.28;6.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SAMUELSON, KARLIE ANNE';['PERFUMERIAS AVENIDA'];28.0;20.76;7.64;1.54;2.54;0.61;1.29;3.64;0.35;0.71;0.89;0.8;0.71;2.61;3.32;1.46;1.14;0.64;0.14;0.04;0.0;1.89;1.14;8.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SAMUELSON, KATIE LOU';['PERFUMERIAS AVENIDA'];29.0;25.24;15.66;3.59;6.28;0.57;2.17;5.28;0.41;1.97;2.41;0.81;1.38;3.38;4.76;1.38;1.17;0.86;0.24;0.14;0.0;1.66;2.34;16.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SANCHEZ MARRUFO, BEATRIZ';['DURAN MAQUINARIA ENSINO'];20.0;25.42;7.25;1.85;3.75;0.49;0.85;2.3;0.37;1.0;1.3;0.77;1.5;4.05;5.55;1.7;0.75;1.5;0.05;0.0;0.0;1.25;2.0;10.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SANGARE, AMINATA BRAHIMA';['CASADEMONT ZARAGOZA'];29.0;13.48;3.79;1.34;3.03;0.44;0.1;0.52;0.2;0.79;1.48;0.53;1.21;2.0;3.21;0.34;0.45;1.17;0.14;0.17;0.0;1.97;1.31;3.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SANTIBAEZ HERRERO, INES';['PERFUMERIAS AVENIDA'];4.0;3.57;0.75;0.0;0.25;0.0;0.25;0.5;0.5;0.0;0.0;0.0;0.0;0.25;0.25;0.0;0.0;0.75;0.0;0.0;0.0;0.25;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SARR, OUMOUL KHAIRY';['IDK EUSKOTREN'];30.0;23.94;6.87;3.0;5.73;0.52;0.03;0.27;0.12;0.77;1.1;0.7;0.97;3.27;4.23;1.9;0.73;1.93;0.33;0.17;0.0;2.67;1.77;7.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SEDA, TAMARA ADELAIDE JOSE CAMACHO';['KUTXABANK ARASKI'];30.0;27.86;9.83;4.03;8.17;0.49;0.03;0.13;0.25;1.67;2.5;0.67;2.6;4.7;7.3;0.7;0.8;1.9;0.17;0.37;0.0;2.57;2.47;11.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SEGURA MORENO, LORENA';['VALENCIA B.C.'];18.0;6.74;1.72;0.22;0.56;0.4;0.39;1.11;0.35;0.11;0.17;0.67;0.11;0.22;0.33;0.5;0.17;0.33;0.0;0.06;0.0;0.67;0.17;0.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SILVA SERRANO, ROSELIS CAROLINA';['EMBUTIDOS PAJARIEL BEMBIBRE PDM'];20.0;28.79;9.6;2.65;5.15;0.51;0.95;3.1;0.31;1.45;2.2;0.66;1.0;4.65;5.65;3.8;2.5;2.7;0.0;0.25;0.0;2.2;3.75;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SOLER RAMI, JLIA';['SPAR GIRONA'];19.0;10.2;2.37;0.58;1.32;0.44;0.37;1.05;0.35;0.11;0.21;0.5;0.26;0.79;1.05;0.53;0.74;0.68;0.05;0.0;0.0;1.47;0.32;1.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'STANACEV, ALEKSANDRA';['DURAN MAQUINARIA ENSINO'];30.0;32.49;9.7;2.0;4.57;0.44;1.43;3.5;0.41;1.4;1.7;0.82;0.23;3.83;4.07;4.9;1.57;2.2;0.07;0.03;0.0;1.63;3.07;14.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'SUAREZ AZCARATE, PAULA';['PERFUMERIAS AVENIDA'];4.0;3.63;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'TAINTA LIZALDE, ANA';['CASADEMONT ZARAGOZA'];1.0;15.72;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'TAYLOR, ASIA MESHAE';['CIUDAD DE LA LAGUNA TENERIFE'];22.0;24.32;15.09;5.32;10.5;0.51;0.45;1.27;0.36;3.09;4.36;0.71;1.91;3.59;5.5;1.18;1.82;1.73;0.09;0.05;0.0;3.55;3.55;14.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'TAYLOR, SPARKLE SHEANNA';['SPAR GRAN CANARIA'];29.0;34.98;18.59;7.66;17.03;0.45;0.24;0.93;0.26;2.55;3.55;0.72;1.48;3.1;4.59;1.69;1.17;2.9;0.03;0.48;0.0;2.45;4.14;13.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
