Nombre;Temporada;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion
COULIBALY, NAIGNOUMA;2019;SPAR CITYLIFT GIRONA;20.0;21.88;7.1;2.7;5.6;0.48;0.0;0.05;0.0;1.7;2.6;0.65;2.15;5.3;7.45;0.5;0.65;2.5;0.65;0.2;0.0;2.75;3.85;10.9
LAMANA LLOBERA, LAIA;2023;DURÁN MAQUINARIA ENSINO;30.0;21.88;8.2;2.73;5.7;0.48;0.6;1.7;0.35;0.93;1.2;0.78;0.4;1.57;1.97;2.27;2.13;1.57;0.0;0.13;0.0;2.03;1.77;8.4
VILARO ARAGONES, ANDREA;2023;PERFUMERIAS AVENIDA;30.0;21.88;6.57;0.93;2.23;0.42;1.37;3.63;0.38;0.6;0.8;0.75;0.33;2.9;3.23;1.77;0.97;0.9;0.13;0.0;0.0;1.63;1.13;7.5
AGUILAR LOPEZ, ELISA;2009;CIUDAD ROS CASARES VALENCIA;19.0;21.86;7.53;1.37;2.63;0.52;1.47;3.84;0.38;0.37;0.53;0.7;0.21;1.63;1.84;3.47;0.79;1.37;0.05;0.05;0.0;0.63;0.58;8.42
EDWARDS, ARIEL JOY;2014;EMBUTIDOS PAJARIEL BEMBIBRE PDM;25.0;21.86;12.28;3.76;7.68;0.49;0.72;1.84;0.39;2.6;3.64;0.71;1.52;2.28;3.8;0.44;0.48;1.12;0.16;0.48;0.0;1.32;2.92;11.08
SANTOS DE OLIVEIRA, ALESSANDRA;2007;PERFUMERIAS AVENIDA;25.0;21.85;9.36;3.6;6.64;0.54;0.0;0.0;0.0;2.16;3.96;0.55;3.24;3.16;6.4;0.16;0.72;1.88;0.24;0.48;0.0;2.48;3.64;10.84
SEDA, TAMARA ADELAIDE JOSE CAMACHO;2018;QUESOS EL PASTOR;16.0;21.85;7.38;2.88;5.94;0.48;0.0;0.12;0.0;1.62;2.69;0.6;2.69;4.44;7.12;0.38;0.88;1.75;0.75;0.5;0.0;2.0;2.38;10.38
MILAPIE, MARIE MICHELLE;2023;LOINTEK GERNIKA BIZKAIA;30.0;21.85;7.8;2.87;5.77;0.5;0.1;0.53;0.19;1.77;2.2;0.8;1.97;2.2;4.17;1.07;0.43;2.03;0.0;0.07;0.03;3.27;2.3;6.7
ROMEO, NICOLE ELAINE;2017;SPAR CITYLIFT GIRONA;25.0;21.84;7.92;0.88;2.16;0.41;1.52;3.72;0.41;1.6;1.72;0.93;0.52;1.6;2.12;2.2;0.8;1.76;0.0;0.16;0.0;1.96;2.16;7.72
POLLINI, CATARINA;2005;YAYA MARÍA PORTA XI;26.0;21.83;7.04;2.96;6.38;0.46;0.0;0.08;0.0;1.12;1.81;0.62;1.12;2.88;4.0;0.85;0.85;1.62;0.62;0.23;0.0;2.27;1.92;6.96
ESPARCIA OMEDAS, CAROLINA;2015;MANN-FILTER;26.0;21.83;4.5;0.85;1.85;0.46;0.65;1.88;0.35;0.85;1.15;0.73;0.5;0.92;1.42;1.04;0.88;0.88;0.08;0.27;0.0;1.5;1.19;3.92
MCKAY, SARAH FRANCES;2007;CADI LA SEU D´URGELL;21.0;21.81;7.05;2.81;5.62;0.5;0.05;0.24;0.2;1.29;1.57;0.82;1.52;3.62;5.14;0.57;0.57;1.9;0.57;0.24;0.0;2.29;1.76;7.95
AGUILAR LOPEZ, ELISA;2008;CIUDAD ROS CASARES;26.0;21.81;5.65;0.46;1.19;0.39;1.54;3.88;0.4;0.12;0.12;1.0;0.27;1.54;1.81;3.81;1.12;1.08;0.0;0.08;0.0;0.58;0.88;8.46
PEREZ CAPARROS, ROSA;2006;UNIVERSITAT DE BARCELONA - F.C. BARCELONA;26.0;21.8;5.35;0.35;1.23;0.28;1.23;3.38;0.36;0.96;1.38;0.69;0.35;1.31;1.65;1.42;0.65;1.31;0.04;0.19;0.0;1.19;1.19;4.15
PALAU ALTES, LAIA;2010;CIUDAD ROS CASARES VALENCIA;24.0;21.8;4.42;1.04;3.0;0.35;0.58;1.75;0.33;0.58;0.88;0.67;0.67;2.92;3.58;2.67;1.54;1.25;0.29;0.04;0.0;1.92;0.96;6.83
BROWN, JOY ALEXIS;2019;VALENCIA B.C.;22.0;21.8;7.0;1.73;3.59;0.48;0.95;2.45;0.39;0.68;1.14;0.6;1.18;3.91;5.09;0.86;1.0;1.09;0.32;0.18;0.0;1.82;1.36;8.73
ELONU, ADAORA NNENNA;2020;SPAR GIRONA;29.0;21.8;10.1;4.17;6.97;0.6;0.21;0.79;0.26;1.14;1.48;0.77;1.03;2.59;3.62;0.86;0.86;0.79;0.28;0.1;0.0;2.0;1.69;10.9
ERB, SUMMER ELISABETH;2000;SANDRA GRAN CANARIA;24.0;21.79;10.29;3.96;6.88;0.58;0.0;0.0;0.0;2.38;3.58;0.66;2.75;3.83;6.58;0.12;0.5;1.0;0.33;0.25;0.0;3.12;2.5;11.83
MOSS, DANDRA YUVETT;2017;PERFUMERIAS AVENIDA;23.0;21.78;11.09;2.22;4.91;0.45;1.52;3.87;0.39;2.09;3.0;0.7;0.83;2.0;2.83;1.61;1.17;1.78;0.04;0.13;0.0;2.09;2.3;9.09
ARROJO JIMENEZ, MARIA BELEN;2019;LOINTEK GERNIKA BIZKAIA;22.0;21.78;6.59;2.14;4.32;0.49;0.41;0.86;0.47;1.09;1.68;0.65;1.5;3.27;4.77;0.82;0.95;0.73;0.5;0.05;0.0;1.09;2.18;10.73
SANFORD, LENITA SHAN;2014;IDK GIPUZKOA UPV;19.0;21.77;7.42;3.21;6.0;0.54;0.26;1.32;0.2;0.21;0.47;0.44;1.32;4.63;5.95;0.26;0.63;1.11;0.42;0.05;0.0;2.0;0.79;8.21
PIRSIC, SANDRA;2007;CADI LA SEU D´URGELL;16.0;21.76;7.56;3.19;6.0;0.53;0.0;0.0;0.0;1.19;2.06;0.58;2.38;3.06;5.44;0.5;0.5;2.12;0.62;0.06;0.0;2.38;2.62;9.0
GARCIA URLEZAGA, IZASKUN;2017;LACTURALE ART ARASKI;25.0;21.76;4.6;1.28;3.36;0.38;0.32;1.32;0.24;1.08;1.56;0.69;0.4;1.6;2.0;2.08;0.88;1.8;0.0;0.36;0.0;0.92;1.76;4.68
QUIRANTE MARTINEZ, ALEJANDRA;2017;MOVISTAR ESTUDIANTES;26.0;21.76;5.15;0.38;1.69;0.23;1.15;3.96;0.29;0.92;1.58;0.59;0.69;2.15;2.85;1.81;1.15;1.69;0.0;0.12;0.0;2.27;2.38;4.5
GOMES DA SILVA, SOFIA CAROLINA;2017;CAMPUS PROMETE LF1;26.0;21.75;8.46;3.42;6.85;0.5;0.0;0.12;0.0;1.62;2.38;0.68;2.19;3.73;5.92;0.81;0.31;1.38;0.19;0.12;0.0;2.96;2.42;9.35
N'DIAYE, DJENEBA;2021;EMBUTIDOS PAJARIEL BEMBIBRE PDM;26.0;21.75;9.42;1.46;4.0;0.37;1.38;5.73;0.24;2.35;3.69;0.64;0.77;1.65;2.42;1.08;1.35;1.85;0.04;0.73;0.0;1.5;3.08;5.81
TRAHAN DAVIS, CELESTE;2023;CELTA ZORKA RECALVI;29.0;21.75;8.24;2.9;5.1;0.57;0.24;0.79;0.3;1.72;2.21;0.78;1.38;3.45;4.83;0.86;0.48;1.34;0.1;0.07;0.0;1.72;2.28;10.48
MIRCHANDANI VILLAR, LIDIA;2001;ROS CASARES VALENCIA;19.0;21.74;7.11;0.95;2.26;0.42;1.47;3.74;0.39;0.79;0.95;0.83;0.32;1.42;1.74;1.05;0.68;1.21;0.05;0.05;0.0;2.16;1.26;4.74
PEREZ CAPARROS, ROSA;2004;USP CEU - ADECCO ESTUDIANTES;26.0;21.74;3.69;0.46;1.54;0.3;0.77;3.15;0.24;0.46;0.88;0.52;0.31;2.04;2.35;1.04;0.58;1.19;0.08;0.19;0.0;1.27;1.19;2.38
PIRSIC, SANDRA;2008;EBE IBIZA-PDV;26.0;21.74;7.42;3.12;5.38;0.58;0.0;0.04;0.0;1.19;1.62;0.74;2.42;3.12;5.54;0.62;0.46;1.54;0.65;0.08;0.0;2.54;1.96;9.77
PASCUA SUAREZ, MARA LUCILA;2014;C.B. CONQUERO HUELVA WAGEN;24.0;21.74;6.71;2.96;6.96;0.43;0.0;0.04;0.0;0.79;1.42;0.56;1.75;4.25;6.0;1.21;0.67;1.54;0.33;0.33;0.0;2.21;1.67;7.83
HAYES, RENARA TIFFANY;2019;PERFUMERIAS AVENIDA;20.0;21.74;12.5;3.8;7.0;0.54;0.9;2.45;0.37;2.2;2.75;0.8;1.1;2.55;3.65;1.25;1.75;1.2;0.05;0.15;0.0;2.0;2.3;12.85
MARTINEZ PRAT, ROSER;2003;USP CEU - ADECCO ESTUDIANTES;26.0;21.73;4.42;1.27;3.12;0.41;0.42;1.31;0.32;0.62;1.15;0.53;0.46;1.27;1.73;0.77;1.08;1.81;0.0;0.0;0.0;2.08;1.69;2.54
GERMAN VELASCO, ICIAR;2004;YAYA MARIA BREOGAN;23.0;21.73;7.83;1.65;3.61;0.46;1.3;3.91;0.33;0.61;1.0;0.61;0.78;1.13;1.91;0.7;0.91;1.57;0.04;0.17;0.0;2.39;1.43;3.74
ANTOJA ROVIRA, LAURA;2005;UNIVERSITAT DE BARCELONA - F.C. BARCELONA;24.0;21.73;6.5;1.21;3.33;0.36;0.92;2.54;0.36;1.33;1.71;0.78;0.38;1.79;2.17;1.54;0.96;1.79;0.0;0.08;0.0;1.83;1.58;4.92
DILLONE, ELINE;2011;GRAN CANARIA 2014 LA CAJA DE CANARIAS;10.0;21.73;4.6;0.9;2.0;0.45;0.6;2.3;0.26;1.0;1.3;0.77;0.8;1.8;2.6;0.5;0.6;0.7;0.1;0.2;0.0;1.1;1.2;4.5
MUSOVIC, MILJANA;2008;RIVAS ECÓPOLIS;15.0;21.72;5.2;1.4;3.0;0.47;0.6;2.73;0.22;0.6;1.07;0.56;0.13;1.0;1.13;1.87;1.6;1.8;0.13;0.07;0.0;2.2;1.2;2.87
PALAU ALTES, LAIA;2011;CIUDAD ROS CASARES VALENCIA;25.0;21.72;4.4;1.08;2.16;0.5;0.56;1.88;0.3;0.56;0.72;0.78;0.48;2.64;3.12;4.4;1.48;2.2;0.12;0.0;0.0;2.24;1.0;7.52
GARCIA URLEZAGA, IZASKUN;2022;TENERIFE;23.0;21.72;3.61;0.78;2.0;0.39;0.61;1.83;0.33;0.22;0.74;0.29;0.43;1.65;2.09;1.48;1.3;1.91;0.0;0.09;0.0;0.7;1.26;4.17
FORASTE GALOBARDES, MIRIAM;2017;NISSAN  AL-QÁZERES EXTREMADURA;26.0;21.71;6.5;2.42;4.58;0.53;0.12;0.46;0.25;1.31;1.62;0.81;0.96;1.96;2.92;0.46;0.62;1.27;0.31;0.08;0.0;1.27;1.77;7.15
GARCIA MATA, GEMA;2008;REAL CLUB CELTA INDEPO;26.0;21.7;5.62;0.77;1.92;0.4;1.12;2.5;0.45;0.73;1.12;0.66;0.31;1.69;2.0;1.5;1.12;1.96;0.0;0.15;0.0;0.88;1.46;5.77
VALERO CEBRIAN, PILAR;2008;REAL CLUB CELTA INDEPO;20.0;21.7;6.9;1.25;2.55;0.49;1.25;3.0;0.42;0.65;0.9;0.72;0.45;1.25;1.7;1.25;0.9;1.2;0.05;0.05;0.0;1.45;0.85;5.65
TUDANCA ACEDO, MARTA;2014;C.B. AL-QÁZERES EXTREMADURA;26.0;21.7;5.54;1.54;3.96;0.39;0.5;1.69;0.3;0.96;1.54;0.62;0.92;3.38;4.31;0.85;0.73;1.73;0.04;0.27;0.0;0.77;2.08;6.58
JAMES, KAI AFI GNOZI NONI;2024;SPAR GRAN CANARIA;19.0;21.7;11.84;4.11;8.32;0.49;0.0;0.11;0.0;3.63;4.79;0.76;3.0;3.95;6.95;0.68;0.32;2.79;0.11;0.0;0.0;2.47;3.53;12.68
BOUDERRA, FAEZA;2008;EBE IBIZA-PDV;8.0;21.69;6.5;1.5;3.75;0.4;0.75;2.25;0.33;1.25;1.75;0.71;0.5;2.88;3.38;1.25;0.75;2.0;0.12;0.12;0.0;2.12;1.75;5.25
NJONKOU, AMINA;2012;TOYOTA RECREATIVO CONQUERO;5.0;21.69;7.8;2.6;6.6;0.39;0.4;1.0;0.4;1.4;1.6;0.88;2.0;3.8;5.8;1.4;0.6;1.4;0.4;0.2;0.0;2.2;1.4;8.8
COULIBALY, NAIGNOUMA;2015;SPAR CITYLIFT GIRONA;22.0;21.69;9.14;3.59;5.59;0.64;0.0;0.05;0.0;1.95;2.68;0.73;3.45;5.14;8.59;0.82;0.41;3.32;0.5;0.36;0.0;2.55;2.91;13.36
RODRIGUEZ FERNANDEZ, GABRIELA;2010;C.B. OLESA;15.0;21.68;4.87;1.4;2.6;0.54;0.4;1.0;0.4;0.87;1.0;0.87;0.33;1.47;1.8;1.0;0.4;2.33;0.0;0.2;0.0;1.6;1.27;3.27
GIMENO MARTINEZ, VEGA;2017;MANN-FILTER;12.0;21.68;7.25;1.5;3.33;0.45;1.17;3.58;0.33;0.75;0.92;0.82;0.83;3.17;4.0;0.42;0.67;1.58;0.0;0.0;0.0;2.25;1.17;5.25
DELAERE, ANTONIA LAURA A.;2023;PERFUMERIAS AVENIDA;30.0;21.68;6.1;1.57;3.43;0.46;0.63;1.77;0.36;1.07;1.17;0.91;0.53;1.57;2.1;1.63;0.8;0.67;0.0;0.23;0.0;1.67;0.8;6.0
SANCHEZ FERNANDEZ, ISABEL;2011;PERFUMERIAS AVENIDA;26.0;21.67;9.42;2.42;4.08;0.59;0.73;2.42;0.3;2.38;2.88;0.83;1.04;1.77;2.81;1.58;1.42;1.62;0.15;0.27;0.0;1.65;3.23;11.23
GIL COLLADO, LAURA;2013;RIVAS ECOPOLIS;14.0;21.67;5.5;1.64;4.0;0.41;0.29;1.21;0.24;1.36;1.64;0.83;1.64;2.07;3.71;1.07;1.21;0.64;0.36;0.0;0.0;2.43;2.14;7.36
GATLING, MARKEISHA CHERTE;2022;CASADEMONT ZARAGOZA;20.0;21.67;11.1;4.35;7.85;0.55;0.0;0.05;0.0;2.4;3.35;0.72;2.15;3.05;5.2;1.1;0.65;2.1;0.15;0.1;0.15;2.4;2.65;11.85
VILARO ARAGONES, ANDREA;2022;PERFUMERIAS AVENIDA;30.0;21.67;5.4;0.87;1.97;0.44;1.0;3.0;0.33;0.67;0.87;0.77;0.43;3.1;3.53;1.87;1.27;0.47;0.03;0.07;0.0;1.77;1.17;7.73
GERVASINI LACORZANA, AINHOA;2024;CADI LA SEU;29.0;21.67;8.17;2.34;5.0;0.47;0.59;2.72;0.22;1.72;2.59;0.67;0.97;2.34;3.31;3.9;0.9;2.69;0.1;0.28;0.0;2.14;2.83;8.72
WECKER, KENDRA RENEE;2006;UNIVERSITAT DE BARCELONA - F.C. BARCELONA;25.0;21.66;10.56;2.44;5.76;0.42;1.72;4.2;0.41;0.52;0.76;0.68;0.88;2.28;3.16;1.28;1.0;1.76;0.16;0.2;0.0;2.04;0.84;6.96
SLISKOVIC, IVA;2008;REAL CLUB CELTA INDEPO;26.0;21.66;7.23;3.19;6.85;0.47;0.0;0.04;0.0;0.85;1.69;0.5;1.27;2.96;4.23;0.62;0.69;1.58;0.23;0.15;0.0;2.54;1.96;6.15
GIMENO MELENDO, LAURA;2011;CAJA RURAL TINTOS DE TORO;24.0;21.65;4.79;1.88;5.12;0.37;0.21;1.25;0.17;0.42;0.5;0.83;1.17;3.0;4.17;1.08;0.62;1.67;0.42;0.25;0.0;2.29;0.79;3.29
ESPARCIA OMEDAS, CAROLINA;2013;MANN-FILTER;21.0;21.65;6.43;2.1;4.48;0.47;0.38;1.29;0.3;1.1;1.43;0.77;0.43;0.86;1.29;1.52;1.05;1.1;0.05;0.48;0.0;1.48;1.05;4.71
FERRARI CALABRO, PAOLA ANDREA;2014;PERFUMERIAS AVENIDA;26.0;21.65;9.08;1.58;3.31;0.48;1.88;4.62;0.41;0.27;0.62;0.44;0.69;3.12;3.81;2.19;1.23;1.73;0.15;0.15;0.0;2.19;0.92;8.5
MCDONALD, AKILA JADE;2014;GRAN CANARIA 2014;11.0;21.64;5.82;2.36;4.36;0.54;0.0;0.0;0.0;1.09;2.18;0.5;1.82;5.36;7.18;0.45;0.45;1.45;0.73;0.0;0.0;3.36;2.36;9.09
CAMARA, BATOULY FATOUMATA;2020;EMBUTIDOS PAJARIEL BEMBIBRE PDM;30.0;21.64;7.5;2.33;5.13;0.45;0.8;2.37;0.34;0.43;0.77;0.57;1.1;2.43;3.53;0.27;0.7;1.47;0.3;0.03;0.1;2.37;0.93;4.7
PASCUA SUAREZ, MARA LUCILA;2009;MANN FILTER ZARAGOZA;26.0;21.62;7.77;2.69;6.19;0.43;0.04;0.35;0.11;2.27;3.5;0.65;2.15;5.04;7.19;0.92;0.96;1.58;0.35;0.23;0.0;2.46;3.46;11.35
MICHULKOVA, LUISA;2010;RC CELTA INDEPO;21.0;21.62;7.62;2.05;5.29;0.39;1.05;2.33;0.45;0.38;0.62;0.62;0.71;2.29;3.0;1.05;1.05;1.19;0.1;0.1;0.0;2.0;0.71;5.48
ROMEO, NICOLE ELAINE;2015;CADI LA SEU;17.0;21.62;10.47;1.29;2.71;0.48;1.82;4.88;0.37;2.41;2.47;0.98;0.53;1.41;1.94;1.29;1.41;1.71;0.0;0.18;0.0;2.12;2.18;8.76
SENOSIAIN VERGARACHEA, ANNE;2023;CELTA ZORKA RECALVI;29.0;21.62;5.62;0.93;2.66;0.35;1.1;4.1;0.27;0.45;0.52;0.87;0.1;1.28;1.38;2.31;0.76;2.1;0.03;0.07;0.0;2.21;1.52;2.52
TORNIKIDOU TORNIKIDOU, ELENA;2008;CIUDAD ROS CASARES;24.0;21.6;7.67;3.33;6.0;0.56;0.0;0.29;0.0;1.0;1.21;0.83;1.21;1.92;3.12;2.0;1.25;1.62;0.21;0.21;0.0;1.71;1.58;9.12
VRANTCHEVA, IVELINA STOYANOVA;2005;UNIVERSITARIO DE FERROL;26.0;21.59;5.92;0.73;2.19;0.33;1.04;3.65;0.28;1.35;2.0;0.67;0.62;1.81;2.42;0.92;1.08;2.12;0.0;0.15;0.0;1.96;2.12;3.5
PALMA JORGE, ANA MARIA;2021;EMBUTIDOS PAJARIEL BEMBIBRE PDM;29.0;21.59;3.72;1.0;3.21;0.31;0.28;1.76;0.16;0.9;1.14;0.79;0.72;2.79;3.52;1.59;0.31;1.48;0.14;0.31;0.03;1.07;1.34;4.14
BUTLER, LANIESHA ALICE;2004;CAJACANARIAS;11.0;21.58;6.82;1.91;4.73;0.4;0.45;2.27;0.2;1.64;2.36;0.69;0.36;2.09;2.45;0.45;1.64;2.18;0.18;0.27;0.0;2.27;2.09;3.55
BERTSCH, MORGAN QUINN;2023;SPAR GIRONA;29.0;21.58;9.45;2.72;5.79;0.47;0.76;1.93;0.39;1.72;2.1;0.82;0.59;2.69;3.28;1.1;0.59;1.83;0.66;0.14;0.0;2.0;2.1;8.72
CANELLA RODRIGUEZ, MARTA;2023;SPAR GIRONA;21.0;21.58;4.52;1.24;2.57;0.48;0.48;1.62;0.29;0.62;1.1;0.57;0.62;3.62;4.24;2.14;1.29;1.33;0.29;0.0;0.0;1.95;1.33;7.57
ABALDE DIAZ, TAMARA;2010;RIVAS ECOPOLIS;23.0;21.57;7.74;2.65;6.13;0.43;0.39;0.91;0.43;1.26;2.04;0.62;1.35;3.17;4.52;0.61;0.65;1.74;0.13;0.17;0.0;1.65;2.43;7.74
ELONU, ADAORA NNENNA;2018;PERFUMERIAS AVENIDA;26.0;21.57;10.42;3.85;6.15;0.62;0.54;1.31;0.41;1.12;1.38;0.81;1.58;2.85;4.42;2.19;1.54;1.54;0.23;0.23;0.0;1.81;1.46;13.35
CAMPISANO, SIERRA KATHLEEN;2023;CADI LA SEU;30.0;21.57;6.3;1.03;2.43;0.42;1.0;2.9;0.34;1.23;1.57;0.79;0.7;1.67;2.37;0.6;0.5;1.33;0.13;0.1;0.0;1.6;1.3;4.63
FERRARI CALABRO, PAOLA ANDREA;2007;RIVAS FUTURA;25.0;21.56;6.44;0.96;2.24;0.43;1.16;3.84;0.3;1.04;1.24;0.84;0.16;2.4;2.56;1.04;1.16;1.56;0.12;0.08;0.0;2.16;1.2;4.56
VESELA, JANA;2008;CIUDAD ROS CASARES;25.0;21.56;8.04;3.24;5.44;0.6;0.2;0.64;0.31;0.96;1.2;0.8;1.56;2.4;3.96;1.48;1.92;1.84;0.6;0.12;0.0;2.04;1.4;10.52
NAVARRO SALLES, LAURA;2010;C.B. OLESA;10.0;21.56;5.6;1.7;3.5;0.49;0.0;0.5;0.0;2.2;3.7;0.59;0.8;0.9;1.7;2.2;1.1;1.7;0.0;0.1;0.0;1.8;2.7;5.9
TINEO HERNANDEZ, BLANCA CELIA;2015;SPAR GRAN CANARIA;24.0;21.56;6.46;0.5;1.75;0.29;1.58;5.33;0.3;0.71;0.83;0.85;0.12;1.75;1.88;0.88;0.83;1.83;0.0;0.12;0.0;1.96;1.08;2.08
EVANS, SHANTE MARIE;2022;HOZONO GLOBAL JAIRIS;19.0;21.56;8.74;2.32;6.32;0.37;0.32;1.53;0.21;3.16;4.95;0.64;1.68;2.95;4.63;1.05;1.05;2.68;0.11;0.32;0.05;3.37;4.26;6.79
OUVIA MODREGO, CRISTINA;2022;VALENCIA B.C.;21.0;21.56;7.29;1.48;4.57;0.32;1.14;2.81;0.41;0.9;1.29;0.7;0.76;2.81;3.57;3.52;2.29;1.38;0.05;0.14;0.0;1.38;1.9;10.71
VALDEMORO MADARIAGA, AMAYA;2009;CIUDAD ROS CASARES VALENCIA;16.0;21.55;11.44;2.0;4.12;0.48;2.12;5.12;0.41;1.06;1.31;0.81;0.56;2.44;3.0;1.94;1.75;2.0;0.0;0.12;0.0;1.62;1.69;10.69
DE SOUZA MACHADO, ERIKA CRISTINA;2004;UNIVERSITAT DE BARCELONA - F.C. BARCELONA;23.0;21.54;12.3;5.09;8.87;0.57;0.0;0.09;0.0;2.13;3.0;0.71;3.0;5.61;8.61;0.61;1.26;1.83;1.74;0.17;0.0;3.22;2.91;17.48
MILLER, CHERIN BRITANY;2019;DURAN MAQUINARIA ENSINO;22.0;21.54;7.27;3.55;6.68;0.53;0.0;0.0;0.0;0.18;0.64;0.29;1.91;3.59;5.5;0.45;0.73;1.82;0.5;0.18;0.0;3.18;1.05;6.73
GERMAN VELASCO, ICIAR;2021;VALENCIA B.C.;8.0;21.54;7.38;1.38;2.5;0.55;1.25;3.12;0.4;0.88;1.12;0.78;1.5;1.75;3.25;1.25;1.5;0.62;0.12;0.0;0.12;3.0;1.0;7.62
DEYAERT, NELE M.J.;2005;ARRANZ - JOPISA BURGOS;23.0;21.53;6.78;2.26;5.57;0.41;0.43;1.09;0.4;0.96;1.91;0.5;1.17;3.0;4.17;1.43;1.43;1.87;0.35;0.43;0.0;3.52;2.17;5.61
ANTOJA ROVIRA, LAURA;2007;RIVAS FUTURA;26.0;21.53;4.65;1.04;2.81;0.37;0.58;1.77;0.33;0.85;0.92;0.92;0.5;1.23;1.73;2.23;0.96;1.31;0.0;0.04;0.0;2.46;1.5;4.23
JEFFERSON, MORIAH ELISE;2022;PERFUMERIAS AVENIDA;4.0;21.53;4.5;2.0;3.75;0.53;0.0;2.25;0.0;0.5;0.75;0.67;0.25;2.0;2.25;1.5;0.75;0.5;0.0;0.0;0.0;2.0;2.25;4.5
LOPEZ VIVES, HELENA;2022;EMBUTIDOS PAJARIEL BEMBIBRE PDM;30.0;21.53;6.07;0.73;2.5;0.29;1.17;3.73;0.31;1.1;1.2;0.92;0.4;1.47;1.87;1.27;0.5;1.17;0.07;0.1;0.0;2.33;1.8;3.63
DE SOUZA MACHADO, ERIKA CRISTINA;2006;CIUDAD ROS CASARES VALENCIA;24.0;21.51;11.75;5.08;8.21;0.62;0.0;0.0;0.0;1.58;2.21;0.72;2.88;5.0;7.88;0.79;1.17;1.71;0.92;0.12;0.0;2.62;2.38;16.67
BEARD, ALANA MONIQUE;2015;PERFUMERIAS AVENIDA;10.0;21.51;6.9;3.2;6.2;0.52;0.0;0.8;0.0;0.5;0.5;1.0;0.7;2.8;3.5;1.3;2.2;1.3;0.1;0.1;0.0;2.7;1.3;7.4
MAXWELL, BRYNNA MARIE;2024;CELTA  FEMXA ZORKA;19.0;21.51;8.63;1.21;2.53;0.48;1.74;4.47;0.39;1.0;1.11;0.9;0.53;1.74;2.26;0.68;0.74;1.05;0.05;0.16;0.0;1.79;1.11;6.47
NOGIC, JOVANA;2020;CIUDAD DE LA LAGUNA TENERIFE;30.0;21.5;8.43;1.23;3.53;0.35;1.57;4.53;0.35;1.27;1.3;0.97;0.27;2.07;2.33;0.9;0.7;1.17;0.03;0.07;0.0;1.7;1.3;5.53
MONTAANA GIMENO, ANNA;2005;ROS CASARES VALENCIA;26.0;21.48;8.27;2.81;5.42;0.52;0.38;1.42;0.27;1.5;1.88;0.8;1.38;3.19;4.58;1.54;1.35;1.54;0.19;0.15;0.0;1.77;1.88;10.31
WILLINGHAM, LE`COE LOUISE;2013;CLUB BALONCESTO CONQUERO;3.0;21.48;4.67;1.33;4.67;0.29;0.0;1.0;0.0;2.0;2.0;1.0;0.67;2.0;2.67;1.0;1.0;1.33;0.0;0.0;0.0;1.0;1.33;4.0
GIVENS, KRISI TIJANA;2018;PERFUMERIAS AVENIDA;25.0;21.48;8.56;2.76;5.24;0.53;0.72;1.72;0.42;0.88;1.08;0.81;0.84;2.76;3.6;2.32;1.56;1.52;0.04;0.28;0.0;1.28;1.6;10.92
SYKES, BRITTNEY CHRISANTI;2019;SPAR CITYLIFT GIRONA;14.0;21.48;9.36;2.86;6.71;0.43;0.5;2.57;0.19;2.14;3.07;0.7;0.71;3.43;4.14;1.93;0.71;2.14;0.36;0.43;0.0;2.21;2.79;7.64
DOMINGUEZ FERNANDEZ, SILVIA;2006;PERFUMERIAS AVENIDA;26.0;21.46;5.15;1.04;2.92;0.36;0.35;1.46;0.24;2.04;2.5;0.82;0.42;1.54;1.96;2.69;1.0;1.77;0.04;0.12;0.0;2.19;2.81;6.12
PALAU ALTES, LAIA;2008;CIUDAD ROS CASARES;24.0;21.46;4.5;1.46;3.29;0.44;0.33;1.21;0.28;0.58;1.0;0.58;0.54;1.96;2.5;2.88;2.38;1.58;0.08;0.08;0.0;1.75;1.21;7.0
COPPER, KAHLEAH LAFEESA BUTLER;2021;PERFUMERIAS AVENIDA;15.0;21.46;12.67;3.47;8.73;0.4;0.87;2.53;0.34;3.13;4.27;0.73;0.8;3.27;4.07;1.33;0.47;2.53;0.07;0.4;0.0;1.93;3.07;9.13
OUVIA MODREGO, CRISTINA;2010;MANN FILTER ZARAGOZA;25.0;21.45;5.0;1.24;3.16;0.39;0.4;1.52;0.26;1.32;1.84;0.72;0.52;2.16;2.68;3.0;1.88;1.92;0.08;0.08;0.0;2.44;2.24;6.88
CHAGAS, FLORENCIA NATALIA;2022;KUTXABANK ARASKI;30.0;21.45;7.4;1.03;3.6;0.29;1.5;4.8;0.31;0.83;1.03;0.81;0.57;1.87;2.43;1.0;0.87;2.1;0.0;0.3;0.0;2.57;1.57;2.53
ERAUNCETAMURGIL AYESTARAN, MARIA;2022;MOVISTAR ESTUDIANTES;29.0;21.45;9.31;3.38;6.45;0.52;0.24;0.86;0.28;1.83;3.34;0.55;1.14;2.83;3.97;0.93;1.1;2.14;0.62;0.14;0.0;2.52;2.93;9.0
