Nombre;Temporada;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion
RUEDA CHONI, JULIA MARIA;2022;BARÇA CBS;29.0;7.87;1.14;0.34;1.03;0.33;0.07;0.28;0.25;0.24;0.72;0.33;0.52;0.62;1.14;0.69;0.45;0.55;0.07;0.03;0.0;1.14;0.83;1.24
SALCEDO GADEA, ELENA;2015;CAMPUS PROMETE;19.0;7.84;1.05;0.32;1.16;0.27;0.11;0.84;0.12;0.11;0.11;1.0;0.26;0.68;0.95;0.63;0.53;0.74;0.0;0.0;0.0;0.63;0.26;0.47
DIAZ CASTELLANO, YURENA;2009;GRAN CANARIA 2014 LA CAJA DE CANARIAS;13.0;7.83;1.85;0.23;0.62;0.38;0.38;0.85;0.45;0.23;0.31;0.75;0.15;0.46;0.62;0.54;0.46;0.92;0.0;0.0;0.0;0.92;0.46;1.15
BOLEDA COLET, ANNA;2004;ACIS-SUFI LEON;18.0;7.81;2.39;0.44;1.11;0.4;0.5;1.5;0.33;0.0;0.0;0.0;0.06;0.61;0.67;0.28;0.17;0.44;0.0;0.0;0.0;0.72;0.17;0.83
MAYOR VADILLO, ELENA;1999;FEMENINO TRES CANTOS;20.0;7.8;0.45;0.1;0.5;0.2;0.05;0.15;0.33;0.1;0.3;0.33;0.0;0.5;0.5;0.05;0.35;0.2;0.0;0.15;0.0;0.6;0.4;0.1
ARIZMENDI RUBIO, ZAHIRA;2022;INNOVA-TSN LEGANES;1.0;7.8;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;-1.0
NDOYE, BINETA;2013;GRAN CANARIA 2014;10.0;7.78;1.4;0.5;1.5;0.33;0.0;0.0;0.0;0.4;0.6;0.67;0.7;1.1;1.8;0.2;0.0;0.5;0.1;0.0;0.0;1.5;0.4;0.7
MOLINUEVO GARCIA, CRISTINA;2017;LACTURALE ART ARASKI;24.0;7.76;1.38;0.25;0.54;0.46;0.17;0.96;0.17;0.38;0.54;0.69;0.17;0.58;0.75;0.33;0.25;0.25;0.08;0.0;0.0;0.17;0.38;1.5
ROIG SOLER, LAURA;2017;SPAR CITYLIFT GIRONA;16.0;7.76;2.94;0.56;1.06;0.53;0.44;0.94;0.47;0.5;0.56;0.89;0.44;0.88;1.31;0.81;0.38;0.62;0.0;0.06;0.0;1.0;0.56;3.25
ABAD MOYANO, CRISTINA;2020;ALTER ENERSUN AL-QÁZERES EXTREMADURA;1.0;7.73;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;-3.0
PARDO VAZQUEZ, MARIA DEL CARMEN;2004;USP CEU - ADECCO ESTUDIANTES;15.0;7.71;1.4;0.4;1.07;0.38;0.0;0.0;0.0;0.6;0.87;0.69;0.53;0.67;1.2;0.13;0.0;0.6;0.07;0.4;0.0;0.87;1.13;1.13
MISCENKO, MARTA KRISTA;2018;BAXI FERROL;12.0;7.71;1.33;0.5;2.08;0.24;0.0;0.0;0.0;0.33;0.67;0.5;0.75;1.33;2.08;0.42;0.08;0.42;0.17;0.0;0.0;0.08;0.58;2.25
PEIR SNCHEZ, ANA BELN;2001;CADI LA SEU D´URGELL;10.0;7.7;1.1;0.1;0.2;0.5;0.2;0.9;0.22;0.3;0.4;0.75;0.0;0.5;0.5;0.2;0.1;0.6;0.0;0.0;0.0;1.0;0.2;-0.4
